,name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
291,2622,0,0,4.7,651,1,62,1547,100.0,5047
292,204,1,0,4.3,734,1,62,1597,200.0,4698
293,2255,0,0,4.0,1047,1,62,980,450.0,5047
294,1372,1,0,3.8,505,1,62,322,450.0,669
295,1058,1,0,3.9,264,1,62,1547,200.0,3221
296,1719,1,0,3.9,286,1,62,322,500.0,3384
297,2530,0,0,4.4,343,1,62,1547,100.0,5047
298,1744,0,0,3.8,70,1,62,821,500.0,5047
299,1336,1,0,3.8,70,1,62,1547,100.0,132
300,675,1,0,3.7,237,1,62,1571,200.0,2040
301,302,1,0,4.1,201,1,62,1597,300.0,1913
302,1009,1,0,2.8,506,1,62,1332,500.0,5047
303,2719,0,0,4.1,520,1,62,248,300.0,5047
304,71,0,0,3.7,88,1,62,1587,300.0,5047
305,2569,1,0,3.7,136,1,62,1507,600.0,865
306,1220,0,0,3.9,88,1,62,1547,250.0,5047
307,2280,0,0,3.8,189,1,62,1547,300.0,5047
308,2987,0,0,3.8,39,1,62,1563,350.0,5047
309,856,1,0,3.9,540,1,62,1474,800.0,3122
310,1908,0,0,3.6,71,1,62,1416,250.0,5047
311,640,1,0,3.5,88,1,62,1592,350.0,1037
312,2086,1,0,3.0,87,1,62,1476,600.0,3490
313,939,1,0,4.2,415,1,62,1190,500.0,1023
314,2194,1,0,3.3,128,1,62,1196,300.0,1864
315,2278,0,0,4.1,94,1,62,1547,100.0,5047
316,607,0,0,3.7,65,1,62,873,300.0,5047
317,1468,0,0,3.5,52,1,62,1547,300.0,5047
318,2646,1,0,3.0,290,1,62,1215,450.0,65
319,2998,1,0,3.7,59,1,62,1451,200.0,5047
320,1670,0,0,3.7,130,1,62,1547,200.0,5047
321,1355,1,0,3.5,80,1,62,1670,250.0,4264
322,858,1,0,3.9,441,1,62,1592,400.0,2010
323,1706,1,0,3.6,84,1,62,1589,250.0,744
324,1439,0,0,4.0,42,1,62,1615,300.0,5047
325,452,1,0,3.0,213,1,62,1428,400.0,4368
326,2189,0,0,4.2,725,30,62,1552,350.0,5047
327,2250,1,0,3.9,750,4,20,1277,500.0,3317
328,1100,0,0,3.8,166,4,20,1406,600.0,5047
329,3027,0,0,4.4,4460,4,62,1547,150.0,5047
330,319,0,0,3.9,153,4,20,1547,350.0,5047
331,1086,1,0,3.8,469,4,20,1208,750.0,1784
332,2277,1,0,4.1,364,4,20,1566,550.0,4743
333,2935,1,0,3.8,286,4,20,1156,600.0,3567
334,235,1,0,3.8,527,4,20,1156,500.0,417
335,898,1,0,3.9,101,4,62,1547,150.0,3893
336,2526,1,0,4.1,558,4,62,1547,150.0,5047
337,2546,0,0,3.8,148,4,22,1194,550.0,5047
338,2474,0,0,2.7,377,4,57,1292,1100.0,5047
339,1494,0,0,3.9,206,4,62,1585,450.0,5047
340,323,0,0,3.9,100,4,62,1589,300.0,5047
341,2122,1,0,4.2,444,4,62,1547,100.0,3896
342,3141,0,0,3.9,133,4,20,979,650.0,5047
343,2210,1,0,4.0,219,4,13,455,600.0,4811
344,1206,0,0,4.2,253,4,62,1547,250.0,5047
345,1622,0,0,3.7,61,4,20,310,600.0,5047
346,42,1,0,3.8,155,54,20,1575,400.0,4183
347,2172,1,0,3.9,233,30,20,1007,800.0,884
348,1283,1,0,3.7,264,54,20,1212,750.0,3538
349,2974,0,0,4.1,238,4,62,1547,600.0,5047
350,752,1,0,4.1,176,4,20,68,800.0,3310
351,1092,1,0,3.7,93,4,62,1628,200.0,1735
352,1277,0,0,3.8,124,4,62,1574,300.0,5047
353,2488,1,0,4.3,275,4,62,1547,100.0,5047
354,2989,0,0,4.2,254,4,62,1547,150.0,5047
355,1640,0,0,4.1,177,4,62,1547,100.0,5047
356,2328,1,0,4.0,132,4,62,817,200.0,5047
357,2970,1,0,3.8,74,4,62,1589,300.0,4411
358,572,1,0,3.6,172,79,20,1196,700.0,5047
359,1408,1,0,3.9,543,4,62,1571,300.0,5047
360,274,0,0,4.0,52,4,62,1547,300.0,5047
361,2163,0,0,3.7,217,4,20,1281,450.0,5047
362,2108,0,0,3.9,111,4,20,1258,700.0,5047
363,582,1,0,3.8,133,4,62,1636,200.0,4542
364,3045,0,0,3.8,39,30,62,1587,250.0,5047
365,2410,0,0,4.0,64,4,62,1547,200.0,5047
366,1165,0,0,3.8,148,4,62,873,150.0,5047
367,298,0,0,3.8,55,75,44,595,300.0,5047
368,1341,0,1,3.8,977,1,46,878,1300.0,5047
369,1129,0,0,4.1,868,1,57,704,1200.0,5047
370,3023,0,0,3.3,62,1,4,1589,800.0,5047
371,777,0,0,3.0,98,1,4,1196,800.0,5047
372,2474,0,0,2.7,377,4,57,1292,1100.0,5047
373,790,1,1,4.4,2487,3,57,1343,900.0,5047
374,953,1,1,4.2,1964,3,20,87,1000.0,462
375,923,1,0,4.3,3178,3,20,1402,750.0,2897
376,64,1,0,3.3,455,3,20,50,550.0,2415
377,266,0,1,4.7,3845,28,20,1325,1600.0,5047
378,2351,0,0,4.3,353,28,20,1416,1200.0,5047
379,18,0,1,4.1,1234,28,20,1423,800.0,5047
